epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,868.119,0.95975,0.52737,0.92422,0.80052,0.80879,0.84886,0.58015,0.89598,0.45525,0.88561,0.000683919,0.000683919,0.000683919
81,879.071,0.93554,0.51859,0.92588,0.89585,0.81341,0.86635,0.58981,0.88637,0.45679,0.88295,0.000674488,0.000674488,0.000674488
82,890.079,0.93798,0.51704,0.93056,0.90326,0.80629,0.87959,0.59964,0.88877,0.45221,0.8875,0.000665057,0.000665057,0.000665057
83,900.877,0.93319,0.50245,0.91893,0.92889,0.82292,0.89391,0.61051,0.87617,0.45792,0.87984,0.000655625,0.000655625,0.000655625
84,911.721,0.93856,0.50982,0.93436,0.91347,0.84899,0.89721,0.61021,0.87366,0.45578,0.87921,0.000646194,0.000646194,0.000646194
85,922.631,0.96154,0.50706,0.93279,0.88389,0.80864,0.87437,0.59946,0.90148,0.44898,0.88554,0.000636762,0.000636762,0.000636762
86,933.524,0.95321,0.50792,0.93811,0.91893,0.78258,0.87922,0.60275,0.88399,0.46335,0.8879,0.000627331,0.000627331,0.000627331
87,944.29,0.93271,0.51448,0.93482,0.81377,0.83679,0.86582,0.60814,0.87509,0.46588,0.87671,0.0006179,0.0006179,0.0006179
88,955.12,0.9464,0.52585,0.92171,0.93903,0.76242,0.86247,0.58016,0.8904,0.47596,0.87868,0.000608468,0.000608468,0.000608468
89,965.957,0.89987,0.48382,0.93181,0.93379,0.74202,0.85215,0.5805,0.87498,0.46799,0.87761,0.000599037,0.000599037,0.000599037
90,977.024,0.88947,0.47165,0.92476,0.89359,0.76947,0.84197,0.58885,0.85833,0.44108,0.86948,0.000589605,0.000589605,0.000589605
91,987.907,0.89462,0.48522,0.91846,0.94795,0.79442,0.86566,0.5957,0.87324,0.44857,0.88011,0.000580174,0.000580174,0.000580174
92,998.776,0.92437,0.50604,0.92452,0.88762,0.81052,0.856,0.60084,0.86815,0.43786,0.87167,0.000570743,0.000570743,0.000570743
93,1009.65,0.91635,0.50968,0.91907,0.83841,0.81585,0.85732,0.59674,0.86609,0.44553,0.87246,0.000561311,0.000561311,0.000561311
94,1020.63,0.94771,0.51515,0.93461,0.87442,0.7891,0.84972,0.58376,0.8746,0.45279,0.87345,0.00055188,0.00055188,0.00055188
95,1031.6,0.9215,0.49257,0.91303,0.88264,0.77474,0.84732,0.5911,0.88122,0.44924,0.8709,0.000542448,0.000542448,0.000542448
96,1042.65,0.89963,0.47546,0.92595,0.90625,0.74766,0.83528,0.57843,0.87548,0.46044,0.87579,0.000533017,0.000533017,0.000533017
97,1053.68,0.92648,0.49164,0.93243,0.83501,0.80605,0.85119,0.59561,0.87723,0.4337,0.87942,0.000523586,0.000523586,0.000523586
98,1064.94,0.89151,0.4807,0.92044,0.91673,0.77239,0.86279,0.59904,0.881,0.42765,0.88281,0.000514154,0.000514154,0.000514154
99,1075.79,0.92446,0.48715,0.92106,0.88917,0.79462,0.85747,0.5925,0.87548,0.43028,0.87953,0.000504723,0.000504723,0.000504723
100,1087,0.95423,0.50717,0.92171,0.9306,0.75739,0.85996,0.599,0.87141,0.43381,0.87591,0.000495291,0.000495291,0.000495291
101,1097.93,0.88687,0.47131,0.91252,0.91494,0.75898,0.85717,0.59448,0.87539,0.43812,0.87939,0.00048586,0.00048586,0.00048586
102,1108.93,0.86205,0.45219,0.92093,0.95245,0.75156,0.85476,0.60248,0.86785,0.43278,0.87555,0.000476429,0.000476429,0.000476429
103,1119.81,0.83659,0.44544,0.91259,0.90861,0.7961,0.8551,0.5967,0.86926,0.44522,0.87857,0.000466997,0.000466997,0.000466997
104,1130.9,0.86609,0.47149,0.93021,0.93116,0.77162,0.86138,0.59012,0.89647,0.43774,0.89135,0.000457566,0.000457566,0.000457566
105,1141.86,0.89864,0.48293,0.91845,0.93007,0.74935,0.85457,0.60027,0.88659,0.43195,0.88832,0.000448134,0.000448134,0.000448134
106,1152.93,0.90297,0.47553,0.91173,0.8846,0.78515,0.84075,0.58584,0.89108,0.44208,0.88065,0.000438703,0.000438703,0.000438703
107,1164.13,0.86956,0.46791,0.91505,0.87671,0.7996,0.84124,0.58537,0.88465,0.44569,0.87736,0.000429272,0.000429272,0.000429272
108,1174.87,0.88318,0.46291,0.92158,0.91458,0.76542,0.84218,0.59145,0.87842,0.43673,0.87921,0.00041984,0.00041984,0.00041984
109,1185.87,0.88155,0.46881,0.90886,0.80773,0.82806,0.85311,0.59973,0.86565,0.43657,0.87389,0.000410409,0.000410409,0.000410409
110,1196.53,0.86786,0.45084,0.90648,0.91237,0.78828,0.85343,0.58819,0.88909,0.44358,0.8893,0.000400977,0.000400977,0.000400977
111,1207.46,0.90951,0.47108,0.91335,0.92027,0.76633,0.85311,0.59707,0.88128,0.44181,0.87938,0.000391546,0.000391546,0.000391546
112,1218.34,0.87633,0.45324,0.90871,0.84658,0.82718,0.86135,0.60711,0.87457,0.43528,0.87255,0.000382115,0.000382115,0.000382115
113,1229.28,0.91039,0.47014,0.91688,0.87762,0.76434,0.85202,0.60306,0.87424,0.43575,0.87444,0.000372683,0.000372683,0.000372683
